...1,Soundfile,Dataset,LowFreqHz,HighFreqHz,FileEndSec,UTC,FileBeginSec,ClassSpecies,KW,KW_certain,Ecotype,Provider,AnnotationLevel,FilePath,FileOk,CallType,ID,CenterTime,Duration,CalltypeCategory,HasQ,CalltypeHasQ,EcotypeCertain,isPulsedCalls,Labels,HoldOut,Augmented,ShiftSec,SourceID,AugFromCT,LocalPath,LocalFileOk
53127,DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110919_110000Z.flac,WVanIsl,3104.0,3328.0,94.077,2011-09-19T11:01:33Z,93.187,UndBio,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/WVanIsl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110919_110000Z.flac,True,,37827,93.632,0.8900000000000006,,False,False,False,False,Background,DCLDE_Train,False,0.0,37827,,/data/DCLDE_2027/dclde_2027_killer_whales/dfo_crp/audio/wvanisl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110919_110000Z.flac,True
51647,DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110827_161500Z.flac,WVanIsl,3520.0,4160.0,38.577,2011-08-27T16:15:37Z,37.703,UndBio,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/WVanIsl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110827_161500Z.flac,True,,36825,38.14,0.8739999999999952,,False,False,False,False,Background,DCLDE_Train,False,0.0,36825,,/data/DCLDE_2027/dclde_2027_killer_whales/dfo_crp/audio/wvanisl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110827_161500Z.flac,True
48557,DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110723_171500Z.flac,WVanIsl,3168.0,3392.0,149.686,2011-07-23T17:17:29Z,149.436,AB,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/WVanIsl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110723_171500Z.flac,True,,35434,149.561,0.25,,False,False,False,False,Background,DCLDE_Train,False,0.0,35434,,/data/DCLDE_2027/dclde_2027_killer_whales/dfo_crp/audio/wvanisl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110723_171500Z.flac,True
21894,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131129_152100Z.flac,NorthBc,4562.5,4937.5,57.872,2013-11-29T15:21:56Z,56.672,UndBio,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131129_152100Z.flac,True,,15934,57.272,1.2000000000000028,,False,False,False,False,Background,DCLDE_Train,False,0.0,15934,,/data/DCLDE_2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131129_152100Z.flac,True
40251,DFOCRP.KkHK0R2F-NML1.SM2M-3.20140103_043600Z.flac,NorthBc,5375.0,5968.75,185.807,2014-01-03T04:39:05Z,185.28,UndBio,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20140103_043600Z.flac,True,,29917,185.5435,0.5269999999999868,,False,False,False,False,Background,DCLDE_Train,False,0.0,29917,,/data/DCLDE_2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20140103_043600Z.flac,True
53182,DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110919_110000Z.flac,WVanIsl,4000.0,4352.0,225.874,2011-09-19T11:03:44Z,224.874,UndBio,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/WVanIsl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110919_110000Z.flac,True,,37882,225.374,1.0,,False,False,False,False,Background,DCLDE_Train,False,0.0,37882,,/data/DCLDE_2027/dclde_2027_killer_whales/dfo_crp/audio/wvanisl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110919_110000Z.flac,True
21182,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131129_132100Z.flac,NorthBc,4031.25,4187.5,226.031,2013-11-29T13:24:45Z,225.519,UndBio,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131129_132100Z.flac,True,,15222,225.775,0.5120000000000005,,False,False,False,False,Background,DCLDE_Train,False,0.0,15222,,/data/DCLDE_2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131129_132100Z.flac,True
33127,DFOCRP.KkHK0R2F-NML1.SM2M-3.20131207_132100Z.flac,NorthBc,1875.0,2218.75,155.472,2013-12-07T13:23:34Z,154.655,UndBio,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131207_132100Z.flac,True,,24855,155.0635,0.8170000000000073,,False,False,False,False,Background,DCLDE_Train,False,0.0,24855,,/data/DCLDE_2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20131207_132100Z.flac,True
53961,DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110929_104500Z.flac,WVanIsl,3104.0,3424.0,198.766,2011-09-29T10:48:18Z,198.453,UndBio,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/WVanIsl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110929_104500Z.flac,True,,38515,198.6095,0.3129999999999882,,False,False,False,False,Background,DCLDE_Train,False,0.0,38515,,/data/DCLDE_2027/dclde_2027_killer_whales/dfo_crp/audio/wvanisl/DFOCRP.H50bjRcb-WCV1.AURAL117LF.20110929_104500Z.flac,True
40739,DFOCRP.KkHK0R2F-NML1.SM2M-3.20140104_073600Z.flac,NorthBc,1343.75,1843.75,250.56,2014-01-04T07:40:10Z,250.272,AB,0,,,DFO_CRP,Call,E:/DCLDE/DFO_CRP/Audio/NorthBc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20140104_073600Z.flac,True,,30317,250.416,0.2880000000000109,,False,False,False,False,Background,DCLDE_Train,False,0.0,30317,,/data/DCLDE_2027/dclde_2027_killer_whales/dfo_crp/audio/northbc/DFOCRP.KkHK0R2F-NML1.SM2M-3.20140104_073600Z.flac,True
